date,CPI
01/04/1986,72.53739169
01/05/1986,72.28317186
01/06/1986,72.28317186
01/07/1986,71.85947214
01/08/1986,71.7747322
01/09/1986,71.85947214
01/10/1986,71.68999226
01/11/1986,71.60525231
01/12/1986,71.52051237
01/01/1987,71.7747322
01/02/1987,71.60525231
01/03/1987,71.60525231
01/04/1987,71.7747322
01/05/1987,71.94421209
01/06/1987,71.94421209
01/07/1987,72.02895203
01/08/1987,72.02895203
01/09/1987,72.02895203
01/10/1987,72.19843192
01/11/1987,72.19843192
01/12/1987,72.19843192
01/01/1988,72.19843192
01/02/1988,72.28317186
01/03/1988,72.28317186
01/04/1988,72.53739169
01/05/1988,72.87635147
01/06/1988,73.1305713
01/07/1988,73.30005118
01/08/1988,73.30005118
01/09/1988,73.46953107
01/10/1988,73.7237509
01/11/1988,73.97797073
01/12/1988,74.23219056
01/01/1989,74.82537017
01/02/1989,74.91011011
01/03/1989,75.07959
01/04/1989,75.6727696
01/05/1989,75.75750955
01/06/1989,75.75750955
01/07/1989,75.58802966
01/08/1989,75.6727696
01/09/1989,75.92698944
01/10/1989,76.01172938
01/11/1989,75.84224949
01/12/1989,75.92698944
01/01/1990,76.01172938
01/02/1990,76.01172938
01/03/1990,76.01172938
01/04/1990,76.18120927
01/05/1990,76.35068915
01/06/1990,76.35068915
01/07/1990,76.4354291
01/08/1990,76.94386876
01/09/1990,77.28282853
01/10/1990,77.79126819
01/11/1990,77.53704836
01/12/1990,77.28282853
01/01/1991,77.96074808
01/02/1991,77.87600814
01/03/1991,77.62178831
01/04/1991,77.96074808
01/05/1991,78.04548802
01/06/1991,78.13022797
01/07/1991,78.72340757
01/08/1991,78.72340757
01/09/1991,78.80814752
01/10/1991,78.9776274
01/11/1991,78.89288746
01/12/1991,78.72340757
01/01/1992,78.89288746
01/02/1992,79.14710729
01/03/1992,79.40132712
01/04/1992,79.7402869
01/05/1992,79.82502684
01/06/1992,79.90976678
01/07/1992,79.90976678
01/08/1992,79.82502684
01/09/1992,79.82502684
01/10/1992,79.7402869
01/11/1992,79.82502684
01/12/1992,79.65554695
01/01/1993,79.82502684
01/02/1993,79.7402869
01/03/1993,79.7402869
01/04/1993,79.82502684
01/05/1993,79.82502684
01/06/1993,79.7402869
01/07/1993,79.7402869
01/08/1993,79.7402869
01/09/1993,79.57080701
01/10/1993,79.48606707
01/11/1993,79.57080701
01/12/1993,79.48606707
01/01/1994,79.7402869
01/02/1994,79.82502684
01/03/1994,79.82502684
01/04/1994,79.99450673
01/05/1994,80.07924667
01/06/1994,80.07924667
01/07/1994,80.16398661
01/08/1994,80.3334665
01/09/1994,80.3334665
01/10/1994,80.50294639
01/11/1994,80.75716622
01/12/1994,80.92664611
01/01/1995,81.43508577
01/02/1995,81.52516883
01/03/1995,81.61525189
01/04/1995,81.97558412
01/05/1995,81.97558412
01/06/1995,81.97558412
01/07/1995,81.88550106
01/08/1995,82.06566718
01/09/1995,82.15575024
01/10/1995,82.06566718
01/11/1995,81.97558412
01/12/1995,81.97558412
01/01/1996,82.06566718
01/02/1996,82.06566718
01/03/1996,81.97558412
01/04/1996,82.06566718
01/05/1996,82.06566718
01/06/1996,81.88550106
01/07/1996,81.79541801
01/08/1996,81.79541801
01/09/1996,81.97558412
01/10/1996,82.06566718
01/11/1996,82.15575024
01/12/1996,82.06566718
01/01/1997,82.2458333
01/02/1997,82.15575024
01/03/1997,82.15575024
01/04/1997,82.15575024
01/05/1997,82.42599942
01/06/1997,82.42599942
01/07/1997,82.51608248
01/08/1997,82.78633166
01/09/1997,82.87641472
01/10/1997,82.87641472
01/11/1997,82.87641472
01/12/1997,82.78633166
01/01/1998,82.78633166
01/02/1998,82.6962486
01/03/1998,82.60616554
01/04/1998,82.60616554
01/05/1998,82.60616554
01/06/1998,82.51608248
01/07/1998,82.51608248
01/08/1998,82.2458333
01/09/1998,82.15575024
01/10/1998,82.06566718
01/11/1998,81.88550106
01/12/1998,81.61525189
01/01/1999,81.52516883
01/02/1999,81.43508577
01/03/1999,81.52516883
01/04/1999,81.79541801
01/05/1999,81.70533495
01/06/1999,81.79541801
01/07/1999,82.15575024
01/08/1999,82.33591636
01/09/1999,82.60616554
01/10/1999,82.78633166
01/11/1999,82.96649778
01/12/1999,83.05658084
01/01/2000,83.41691308
01/02/2000,83.77724531
01/03/2000,83.95741143
01/04/2000,83.95741143
01/05/2000,84.40782673
01/06/2000,84.58799285
01/07/2000,84.85824203
01/08/2000,84.94832509
01/09/2000,85.75907262
01/10/2000,85.66898956
01/11/2000,85.75907262
01/12/2000,85.39874038
01/01/2001,85.39874038
01/02/2001,85.66898956
01/03/2001,85.84915568
01/04/2001,86.0293218
01/05/2001,86.20948792
01/06/2001,86.29957098
01/07/2001,85.84915568
01/08/2001,85.84915568
01/09/2001,86.0293218
01/10/2001,85.75907262
01/11/2001,85.39874038
01/12/2001,85.21857427
01/01/2002,85.5789065
01/02/2002,85.5789065
01/03/2002,85.84915568
01/04/2002,86.0293218
01/05/2002,86.0293218
01/06/2002,86.0293218
01/07/2002,86.0293218
01/08/2002,86.11940486
01/09/2002,86.20948792
01/10/2002,86.29957098
01/11/2002,85.93923874
01/12/2002,86.11940486
01/01/2003,86.56982016
01/02/2003,86.9301524
01/03/2003,87.11031851
01/04/2003,86.65990322
01/05/2003,86.38965404
01/06/2003,86.29957098
01/07/2003,86.29957098
01/08/2003,86.29957098
01/09/2003,86.29957098
01/10/2003,86.38965404
01/11/2003,86.38965404
01/12/2003,86.29957098
01/01/2004,86.38965404
01/02/2004,86.4797371
01/03/2004,87.11031851
01/04/2004,87.47065075
01/05/2004,87.83098299
01/06/2004,87.74089993
01/07/2004,88.19131523
01/08/2004,88.55164747
01/09/2004,88.64173053
01/10/2004,89.362395
01/11/2004,89.00206276
01/12/2004,89.09214582
01/01/2005,89.362395
01/02/2005,89.54256112
01/03/2005,89.90289336
01/04/2005,89.90289336
01/05/2005,89.63264418
01/06/2005,89.99297642
01/07/2005,89.90289336
01/08/2005,90.17314254
01/09/2005,90.53347477
01/10/2005,90.80372395
01/11/2005,90.53347477
01/12/2005,90.62355783
01/01/2006,90.80372395
01/02/2006,90.98389007
01/03/2006,91.25413925
01/04/2006,91.88472067
01/05/2006,92.15496985
01/06/2006,92.33513596
01/07/2006,92.87563432
01/08/2006,92.87563432
01/09/2006,92.51530208
01/10/2006,92.87563432
01/11/2006,92.78555126
01/12/2006,92.87563432
01/01/2007,92.87563432
01/02/2007,93.05580044
01/03/2007,93.41613268
01/04/2007,93.86654798
01/05/2007,94.13679715
01/06/2007,94.31696327
01/07/2007,94.49712939
01/08/2007,94.49712939
01/09/2007,94.67729551
01/10/2007,95.03762775
01/11/2007,95.57812611
01/12/2007,95.39795999
01/01/2008,95.66820916
01/02/2008,96.11862446
01/03/2008,96.65912282
01/04/2008,97.01945506
01/05/2008,97.74011953
01/06/2008,98.19053483
01/07/2008,98.91119931
01/08/2008,98.55086707
01/09/2008,98.46078401
01/10/2008,97.65003647
01/11/2008,96.11862446
01/12/2008,94.94754469
01/01/2009,94.49712939
01/02/2009,94.13679715
01/03/2009,93.68638186
01/04/2009,93.68638186
01/05/2009,93.5962988
01/06/2009,93.86654798
01/07/2009,93.50621574
01/08/2009,94.04671409
01/09/2009,93.86654798
01/10/2009,93.95663103
01/11/2009,94.04671409
01/12/2009,94.04671409
01/01/2010,94.40704633
01/02/2010,94.50328185
01/03/2010,94.98445946
01/04/2010,95.65810811
01/05/2010,96.13928571
01/06/2010,96.42799228
01/07/2010,96.5242278
01/08/2010,96.71669884
01/09/2010,97.00540541
01/10/2010,97.19787645
01/11/2010,97.39034749
